symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
GTCO,baseline,41,914364,0.722,13.0172,4.50126,1060,6.67167e+06,3.33945e+06,3.33223e+06,6240,2783,2220,1
GTCO,avellaneda_stoikov,41,2.51698e+06,1.4074,11.9989,2.87553,1733,1.07306e+07,5.37232e+06,5.35824e+06,6240,3010,2220,1
GTCO,baseline,42,1.26842e+06,-9.8054,12.8745,3.42449,1085,6.94434e+06,3.42314e+06,3.5212e+06,6240,2954,2377,1
GTCO,avellaneda_stoikov,42,2.68289e+06,-2.637,11.4302,2.2152,1835,1.13896e+07,5.68161e+06,5.70798e+06,6240,3191,2377,1
GTCO,baseline,43,388594,27.2941,30.0018,7.65541,1141,6.68865e+06,3.48079e+06,3.20785e+06,6240,2917,2370,1
GTCO,avellaneda_stoikov,43,2.51443e+06,-14.8916,14.8916,2.77505,1832,1.08713e+07,5.36117e+06,5.51009e+06,6240,3155,2370,1
GTCO,baseline,44,1.07959e+06,3.2943,21.6286,5.49983,1020,6.12625e+06,3.0796e+06,3.04665e+06,6240,2725,2205,1
GTCO,avellaneda_stoikov,44,2.22139e+06,3.6458,8.7346,1.72613,1690,1.00876e+07,5.06201e+06,5.02555e+06,6240,2934,2205,1
GTCO,baseline,45,1.23058e+06,4.698,7.2174,2.65837,1082,6.58735e+06,3.31716e+06,3.27018e+06,6240,2767,2241,1
GTCO,avellaneda_stoikov,45,2.47826e+06,3.5869,9.99,2.16887,1740,1.04798e+07,5.25783e+06,5.22196e+06,6240,2972,2241,1
GTCO,baseline,46,1.11768e+06,11.9753,19.0641,3.40278,1097,6.40561e+06,3.26268e+06,3.14293e+06,6240,2878,2323,1
GTCO,avellaneda_stoikov,46,2.50412e+06,-2.0439,7.9721,1.69956,1755,1.05102e+07,5.24488e+06,5.26532e+06,6240,3108,2323,1
GTCO,baseline,47,1.29375e+06,-2.5192,18.215,4.80383,1109,6.88754e+06,3.43117e+06,3.45636e+06,6240,2884,2320,1
GTCO,avellaneda_stoikov,47,2.56991e+06,-6.0664,8.9414,2.06488,1780,1.10296e+07,5.48446e+06,5.54512e+06,6240,3125,2320,1
GTCO,baseline,48,2.23179e+06,-10.8617,22.6563,5.16733,1101,6.72055e+06,3.30597e+06,3.41458e+06,6240,2935,2394,1
GTCO,avellaneda_stoikov,48,2.326e+06,-4.493,9.1286,2.32149,1811,1.1005e+07,5.48002e+06,5.52495e+06,6240,3177,2394,1
GTCO,baseline,49,1.69837e+06,24.6968,31.1643,10.122,1118,6.82516e+06,3.53606e+06,3.2891e+06,6240,2900,2353,1
GTCO,avellaneda_stoikov,49,2.52582e+06,5.7768,9.819,2.09132,1868,1.12951e+07,5.67645e+06,5.61868e+06,6240,3153,2353,1
GTCO,baseline,50,1.21046e+06,-0.9233,16.2182,4.42587,1135,6.98374e+06,3.48726e+06,3.49649e+06,6240,2997,2407,1
GTCO,avellaneda_stoikov,50,2.70472e+06,-2.4139,9.1064,2.10889,1864,1.1639e+07,5.80742e+06,5.83156e+06,6240,3278,2407,1
