symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
OANDO,avellaneda_stoikov,9,228918,0.8797,5.4985,1.22279,500,2.97736e+06,1.49308e+06,1.48428e+06,6240,820,620,1
OANDO,baseline,10,42968.3,1.2414,6.7284,2.04493,285,1.83374e+06,923076,910662,6240,731,594,1
OANDO,avellaneda_stoikov,10,204338,-0.6021,4.7637,1.53368,447,2.84956e+06,1.42177e+06,1.42779e+06,6240,785,594,1
OANDO,baseline,11,125437,-6.5153,10.9649,3.32051,281,1.99622e+06,965534,1.03069e+06,6240,776,621,1
OANDO,avellaneda_stoikov,11,252663,1.2371,7.54,1.97069,476,3.25468e+06,1.63352e+06,1.62115e+06,6240,839,621,1
OANDO,baseline,12,163034,-10.8237,13.1914,5.27983,315,1.9731e+06,932433,1.04067e+06,6240,758,625,1
OANDO,avellaneda_stoikov,12,244777,-5.2304,6.8492,1.97702,490,3.09732e+06,1.52251e+06,1.57481e+06,6240,827,625,1
OANDO,baseline,13,68205.5,7.1557,9.667,2.71482,316,2.16305e+06,1.1173e+06,1.04575e+06,6240,758,590,1
OANDO,avellaneda_stoikov,13,263902,-10.7388,11.4826,2.53493,494,3.37319e+06,1.6329e+06,1.74029e+06,6240,837,590,1
OANDO,baseline,14,103673,4.6108,4.6108,2.08001,305,1.87615e+06,961127,915019,6240,753,608,1
OANDO,avellaneda_stoikov,14,300290,-7.6795,10.6122,2.59249,456,2.79517e+06,1.35919e+06,1.43598e+06,6240,794,608,1
OANDO,baseline,15,157601,-2.3752,7.6827,3.19429,329,2.00906e+06,992653,1.01640e+06,6240,800,656,1
OANDO,avellaneda_stoikov,15,223174,-2.5613,7.0622,1.6891,478,2.88446e+06,1.42942e+06,1.45504e+06,6240,842,656,1
OANDO,baseline,16,22137.6,-0.4733,6.1956,1.8284,305,1.9589e+06,977084,981817,6240,794,644,1
OANDO,avellaneda_stoikov,16,295518,4.1864,8.937,2.22109,493,3.11892e+06,1.58039e+06,1.53853e+06,6240,855,644,1
OANDO,baseline,17,76461.5,0.5271,3.9724,1.13958,307,1.90591e+06,955591,950320,6240,770,628,1
OANDO,avellaneda_stoikov,17,252070,12.644,13.7831,2.2977,497,3.1436e+06,1.63502e+06,1.50858e+06,6240,848,628,1
OANDO,baseline,18,44838.1,-6.6454,6.6454,3.24604,305,1.90184e+06,917692,984146,6240,761,633,1
OANDO,avellaneda_stoikov,18,194128,-7.5049,10.6393,2.59452,467,2.89652e+06,1.41074e+06,1.48578e+06,6240,818,633,1
OANDO,baseline,19,32129.4,-10.1909,11.6405,4.10078,303,1.83112e+06,864607,966516,6240,751,620,1
OANDO,avellaneda_stoikov,19,225360,2.4607,5.6758,1.68055,487,2.93793e+06,1.48127e+06,1.45666e+06,6240,809,620,1
OANDO,baseline,20,146628,-5.108,7.6457,1.86122,300,1.72175e+06,835334,886414,6240,739,621,1
OANDO,avellaneda_stoikov,20,177453,11.6898,11.6898,2.40155,468,2.80855e+06,1.46272e+06,1.34582e+06,6240,806,621,1
OANDO,baseline,21,49315,11.0376,11.7861,3.3451,317,1.88437e+06,997371,886995,6240,770,626,1
OANDO,avellaneda_stoikov,21,238261,0.64,5.781,1.79589,483,3.02154e+06,1.51397e+06,1.50757e+06,6240,833,626,1
OANDO,baseline,22,8278.15,13.6872,17.3878,6.34609,300,1.89473e+06,1.0158e+06,878930,6240,737,603,1
OANDO,avellaneda_stoikov,22,189634,-3.078,6.4649,1.86749,485,3.03181e+06,1.50052e+06,1.5313e+06,6240,804,603,1
OANDO,baseline,23,116038,-2.6082,4.4099,1.75558,304,1.98972e+06,981818,1.0079e+06,6240,778,634,1
OANDO,avellaneda_stoikov,23,251564,-2.363,6.3678,1.62625,519,3.29563e+06,1.636e+06,1.65963e+06,6240,844,634,1
OANDO,baseline,24,130815,-4.8144,9.8693,1.98875,309,1.9586e+06,955230,1.00337e+06,6240,767,632,1
OANDO,avellaneda_stoikov,24,210149,-2.5798,5.2374,1.48233,497,3.03917e+06,1.50669e+06,1.53249e+06,6240,821,632,1
OANDO,baseline,25,63824.8,3.1618,8.0006,2.70959,311,1.98185e+06,1.00674e+06,975118,6240,768,633,1
OANDO,avellaneda_stoikov,25,253971,5.2876,5.5495,1.45878,504,3.17305e+06,1.61296e+06,1.56009e+06,6240,829,633,1
OANDO,baseline,26,61904.1,7.7975,7.7975,2.00521,318,2.02145e+06,1.04971e+06,971737,6240,787,634,1
OANDO,avellaneda_stoikov,26,184001,-8.2962,9.9697,2.32187,484,3.09784e+06,1.50744e+06,1.5904e+06,6240,856,634,1
OANDO,baseline,27,116094,-2.3888,4.3487,1.63093,303,1.89531e+06,935713,959601,6240,796,653,1
OANDO,avellaneda_stoikov,27,258196,-2.5842,6.1033,1.65926,489,3.09576e+06,1.53496e+06,1.5608e+06,6240,866,653,1
OANDO,baseline,28,25897.3,12.6527,12.8659,3.71812,324,2.16316e+06,1.14484e+06,1.01832e+06,6240,817,660,1
OANDO,avellaneda_stoikov,28,271149,2.1773,4.9905,1.4832,516,3.34564e+06,1.68371e+06,1.66193e+06,6240,881,660,1
OANDO,baseline,29,83379.9,0.8287,5.5319,1.85791,300,1.93602e+06,972156,963869,6240,744,604,1
OANDO,avellaneda_stoikov,29,229285,-1.5288,4.7298,1.41417,468,2.96058e+06,1.47264e+06,1.48793e+06,6240,795,604,1
OANDO,baseline,30,92899.3,6.1825,6.4879,2.0391,306,1.95428e+06,1.00805e+06,946228,6240,737,600,1
OANDO,avellaneda_stoikov,30,198860,-2.3379,4.9415,1.47662,474,2.92677e+06,1.4517e+06,1.47508e+06,6240,786,600,1
OANDO,baseline,31,131410,-2.2561,6.8458,1.87212,340,2.11850e+06,1.04797e+06,1.07053e+06,6240,815,655,1
